i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe,combined_pnl,combined_sharpe,sharpe_x_sqrt_pnl
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,1,sleep_pod,snackpack,2.3527089540184907,-13348.896096434935,0.0024124275562742,611.3298320500302,1.3475606708339858,1889.2292378585337,0.9742850166015964,1379.975562542655,0.9742850166015964,3269.2048004011885,1.160922843717791,66.37803946086007
PEBBLES_S,PANEL_2X4,20,pebbles,panel,-1.1017757013394047,21342.74453333796,0.0007970238193828,795.7067280285838,1.207049488532704,1114.5223367728631,1.4405434518656588,2147.7187386070073,1.207049488532704,3262.2410753798704,1.3237964701991816,75.6100011356685
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,5,sleep_pod,snackpack,2.351705130651962,-13337.84100339962,0.0009541250379098,609.7303179379834,1.3177824805470917,1863.3615210769055,0.9883461563723916,1387.4114695795324,0.9883461563723916,3250.772990656438,1.1530643184597418,65.74259679636057
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,100,sleep_pod,uv_visor,-0.9159057482909352,19095.564289887556,0.0072136265841894,819.522122169155,2.052428178536342,1496.7955095721172,1.836047929499616,1752.820405444807,1.836047929499616,3249.615915016924,1.944238054017979,110.83207283926431
TRANSLATOR_VOID_BLUE,PEBBLES_XL,100,translator,pebbles,0.2632096393312778,7382.80711912763,0.0117311418676504,889.5703858149396,0.8945990078965577,1095.1199327504182,2.569327241148902,2106.1482150643533,0.8945990078965577,3201.2681478147715,1.7319631245227298,97.99404117253245
PEBBLES_S,PANEL_2X4,1,pebbles,panel,-1.1018141700156674,21344.628762462107,0.005990711597288,795.0683945616242,1.078029223559939,1076.5622210326271,1.4350304439155388,2108.232704037193,1.078029223559939,3184.7949250698202,1.2565298337377389,70.91098870698347
PEBBLES_S,PANEL_2X4,5,pebbles,panel,-1.1018323889513897,21344.52984781118,0.0011418594369423,789.4524920617886,1.0363568656630402,1052.0626370793725,1.4193582078787823,2126.0129203939578,1.0363568656630402,3178.0755574733303,1.2278575367709113,69.21976004067564
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,20,sleep_pod,snackpack,2.3479699380283714,-13296.739921940798,0.0018145946988008,617.011287567716,1.1908253210971826,1753.0976029522535,0.9968024664062316,1403.1936940170526,0.9968024664062316,3156.291296969306,1.0938138937517072,61.45142729600202
ROBOT_IRONING,SNACKPACK_PISTACHIO,20,robot,snackpack,3.1891784028978445,-21584.091457267623,0.0144409746647757,854.7210601650967,0.9560573465031604,1087.1593307606854,1.3372495651358718,2009.6294831184712,0.9560573465031604,3096.788813879157,1.146653455819516,63.8098875180021
PANEL_2X4,PEBBLES_XL,20,panel,pebbles,0.3088604927086312,7181.9109786943945,0.0004954587461763,586.4037289955778,1.2986843035193536,1428.0546726205612,1.4916151065455543,1650.4243236151706,1.2986843035193536,3078.4789962357318,1.395149705032454,77.40854583080477
ROBOT_IRONING,PEBBLES_M,1,robot,pebbles,-0.915357931373826,18096.05464595134,0.0059887142024753,829.9207601310436,1.1807270419011036,1346.3427311733903,1.4734249919781863,1697.8262064581231,1.1807270419011036,3044.1689376315135,1.327076016939645,73.22007606303117
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,20,galaxy_sounds,panel,-0.5379408297010201,15493.192458673157,0.0139226333111758,937.0807142886116,1.9421600496476137,1351.977184064397,1.9797499254374924,1678.522982095279,1.9421600496476137,3030.500166159676,1.9609549875425532,107.95053049694502
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,5,galaxy_sounds,panel,-0.5377188512714576,15490.885614818251,0.0129975593060901,928.3479891785548,1.7967503394598172,1278.419480055456,2.001163460901115,1711.028063917798,1.7967503394598172,2989.447543973254,1.8989569001804663,103.82706475720914
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,5,oxygen_shake,pebbles,-0.8138433428288929,18353.06299334476,0.0009700760555464,609.5911099936873,0.9400211829730885,1094.7466101778718,2.3140751896549214,1822.9866928381944,0.9400211829730885,2917.733303016066,1.627048186314005,87.88671084399654
