label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a2.5_c7_b0.6,1b,2.5,7,0.6,True,True,44.9,462940,455168,462940,493886,462940,455168,462940,467574.8,1411994,22.979,25488,20764,9804,15347,45915,True,True,True,True,True,True,True,8968,6682.0,6615.399999999965,19714,4063,1.029152870871356,22.979
1b_a2.5_c5_b0.6,1b,2.5,5,0.6,True,True,45.7,461910,455078,461910,493271,461910,455078,461910,466815.8,1410260,23.0811,25592,20149,8774,15258,44181,True,True,True,True,True,True,True,8878,5652.0,5856.399999999965,17980,3448,1.0333521763708309,23.0811
1b_a2.0_c5_b0.6,1b,2.0,5,0.6,True,True,56.5,462502,455078,462502,493930,462502,455078,462502,467302.8,1411511,22.8128,25592,20808,9366,15258,45432,True,True,True,True,True,True,True,8878,6244.0,6343.399999999965,19231,4107,1.0333521763708309,22.8128
1b_a1.5_c10_b0.4,1b,1.5,10,0.4,True,True,45.3,461698,454894,461698,494274,461698,454894,461698,466852.4,1410866,22.3428,25502,21152,8562,15073,44787,True,True,True,True,True,True,True,8694,5440.0,5893.0,18586,4451,1.0297181619962852,22.3428
1b_a1.5_c10_b0.1,1b,1.5,10,0.1,True,True,51.1,462060,454892,462060,494246,462060,454892,462060,467063.6,1411197,22.4419,25398,21124,8923,15071,45118,True,True,True,True,True,True,True,8692,5802.0,6104.199999999953,18917,4423,1.02551885649681,22.4419
1b_a1.0_c10_b0.2,1b,1.0,10,0.2,True,True,46.1,461636,454892,461636,494207,461636,454892,461636,466801.4,1410734,22.3669,25398,21085,8499,15071,44655,True,True,True,True,True,True,True,8692,5378.0,5842.0,18454,4384,1.02551885649681,22.3669
1b_a1.0_c10_b0.1,1b,1.0,10,0.1,True,True,49.2,461636,454892,461636,494290,461636,454892,461636,466818.0,1410817,22.318,25398,21168,8499,15071,44738,True,True,True,True,True,True,True,8692,5378.0,5858.599999999977,18537,4467,1.02551885649681,22.318
1b_a1.5_c10_b0.2,1b,1.5,10,0.2,True,True,51.5,462060,454792,462060,494262,462060,454792,462060,467046.8,1411113,22.3912,25502,21140,8923,14971,45034,True,True,True,True,True,True,True,8592,5802.0,6087.399999999965,18833,4439,1.0297181619962852,22.3912
1b_a1.0_c10_b0.4,1b,1.0,10,0.4,True,True,42.8,461636,454792,461636,494223,461636,454792,461636,466784.6,1410650,22.3171,25502,21101,8499,14971,44571,True,True,True,True,True,True,True,8592,5378.0,5825.199999999953,18370,4400,1.0297181619962852,22.3171
1b_a0.5_c3_b0.2,1b,0.5,3,0.2,True,True,196.0,462118,454582,462118,494232,462118,454582,462118,467033.6,1410931,22.3355,25194,21110,8981,14761,44852,True,True,True,True,True,True,True,8382,5860.0,6074.199999999953,18651,4409,1.0172817572478399,22.3355
