label,beta_overrides,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,elapsed_s,GALAXY_SOUNDS_BLACK_HOLES_3day,GALAXY_SOUNDS_BLACK_HOLES_d2,GALAXY_SOUNDS_BLACK_HOLES_d3,GALAXY_SOUNDS_BLACK_HOLES_d4,MICROCHIP_OVAL_3day,MICROCHIP_OVAL_d2,MICROCHIP_OVAL_d3,MICROCHIP_OVAL_d4,MICROCHIP_SQUARE_3day,MICROCHIP_SQUARE_d2,MICROCHIP_SQUARE_d3,MICROCHIP_SQUARE_d4,MICROCHIP_TRIANGLE_3day,MICROCHIP_TRIANGLE_d2,MICROCHIP_TRIANGLE_d3,MICROCHIP_TRIANGLE_d4,OXYGEN_SHAKE_CHOCOLATE_3day,OXYGEN_SHAKE_CHOCOLATE_d2,OXYGEN_SHAKE_CHOCOLATE_d3,OXYGEN_SHAKE_CHOCOLATE_d4,OXYGEN_SHAKE_EVENING_BREATH_3day,OXYGEN_SHAKE_EVENING_BREATH_d2,OXYGEN_SHAKE_EVENING_BREATH_d3,OXYGEN_SHAKE_EVENING_BREATH_d4,PANEL_1X4_3day,PANEL_1X4_d2,PANEL_1X4_d3,PANEL_1X4_d4,ROBOT_DISHES_3day,ROBOT_DISHES_d2,ROBOT_DISHES_d3,ROBOT_DISHES_d4,SLEEP_POD_POLYESTER_3day,SLEEP_POD_POLYESTER_d2,SLEEP_POD_POLYESTER_d3,SLEEP_POD_POLYESTER_d4,UV_VISOR_AMBER_3day,UV_VISOR_AMBER_d2,UV_VISOR_AMBER_d3,UV_VISOR_AMBER_d4
3b_OXYGEN_SHAKE_CHOCOLATE_b0.4,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.4}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,54.7,,,,,,,,,,,,,,,,,-539,9410,3942,-13891,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_CHOCOLATE_b0.6,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.6}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,50.9,,,,,,,,,,,,,,,,,-539,9410,3942,-13891,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.05,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.05}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,54.4,,,,,,,,,,,,,,,,,,,,,20865,1669,7291,11905,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.1,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.1}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,54.6,,,,,,,,,,,,,,,,,,,,,20865,1669,7291,11905,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.15,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.15}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,50.5,,,,,,,,,,,,,,,,,,,,,20865,1669,7291,11905,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.2,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,50.8,,,,,,,,,,,,,,,,,,,,,20865,1669,7291,11905,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.3,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.3}",456284,446012,456284,489809,456284,446012,456284,460934.6,1392104,20.2595,24766,50.7,,,,,,,,,,,,,,,,,,,,,20689,1655,7317,11717,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.4,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.4}",456284,445724,456284,489809,456284,445724,456284,460877.0,1391816,20.1554,24766,50.4,,,,,,,,,,,,,,,,,,,,,20401,1655,7317,11429,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_EVENING_BREATH_b0.6,"{""OXYGEN_SHAKE_EVENING_BREATH"": 0.6}",454644,446204,454644,490253,454644,446204,454644,460077.8,1391100,19.8335,24892,43.7,,,,,,,,,,,,,,,,,,,,,19685,2099,5677,11909,,,,,,,,,,,,,,,,
3b_PANEL_1X4_b0.05,"{""PANEL_1X4"": 0.05}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,42.4,,,,,,,,,,,,,,,,,,,,,,,,,26002,21185,9779,-4962,,,,,,,,,,,,
3b_PANEL_1X4_b0.1,"{""PANEL_1X4"": 0.1}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,49.5,,,,,,,,,,,,,,,,,,,,,,,,,26002,21185,9779,-4962,,,,,,,,,,,,
3b_PANEL_1X4_b0.15,"{""PANEL_1X4"": 0.15}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,49.4,,,,,,,,,,,,,,,,,,,,,,,,,26002,21185,9779,-4962,,,,,,,,,,,,
3b_PANEL_1X4_b0.2,"{""PANEL_1X4"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,42.2,,,,,,,,,,,,,,,,,,,,,,,,,26002,21185,9779,-4962,,,,,,,,,,,,
3b_PANEL_1X4_b0.3,"{""PANEL_1X4"": 0.3}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,42.5,,,,,,,,,,,,,,,,,,,,,,,,,26002,21185,9779,-4962,,,,,,,,,,,,
3b_PANEL_1X4_b0.4,"{""PANEL_1X4"": 0.4}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,45.9,,,,,,,,,,,,,,,,,,,,,,,,,26002,21185,9779,-4962,,,,,,,,,,,,
3b_PANEL_1X4_b0.6,"{""PANEL_1X4"": 0.6}",456226,446200,456226,489441,456226,446200,456226,460863.8,1391866,20.4987,24766,45.8,,,,,,,,,,,,,,,,,,,,,,,,,25588,20803,9747,-4962,,,,,,,,,,,,
3b_ROBOT_DISHES_b0.05,"{""ROBOT_DISHES"": 0.05}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,16701,3121,6379,,,,,,,,
3b_ROBOT_DISHES_b0.1,"{""ROBOT_DISHES"": 0.1}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,16701,3121,6379,,,,,,,,
3b_ROBOT_DISHES_b0.15,"{""ROBOT_DISHES"": 0.15}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,16701,3121,6379,,,,,,,,
3b_ROBOT_DISHES_b0.2,"{""ROBOT_DISHES"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26201,16701,3121,6379,,,,,,,,
3b_ROBOT_DISHES_b0.3,"{""ROBOT_DISHES"": 0.3}",456304,445388,456304,489823,456304,445388,456304,460824.6,1391514,20.0309,24766,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25435,16701,3167,5567,,,,,,,,
3b_ROBOT_DISHES_b0.4,"{""ROBOT_DISHES"": 0.4}",456304,445388,456304,489823,456304,445388,456304,460824.6,1391514,20.0309,24766,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25435,16701,3167,5567,,,,,,,,
3b_ROBOT_DISHES_b0.6,"{""ROBOT_DISHES"": 0.6}",456304,445388,456304,489823,456304,445388,456304,460824.6,1391514,20.0309,24766,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25435,16701,3167,5567,,,,,,,,
